E_fst,E_fst_elstat,E_fst_VdW,E_fst_SP,group_size,type_of_complex_in_group,E_snd_SP,avg_E_fst,avg_E_snd_SP,E_third,alt_E_third,E_third_SP,avg_E_third,avg_alt_E_third,avg_E_third_SP,is_real
6206.36,2497.87,17855.28,-962.05,22,middle,-714.59,6392.68,-887.89,-7804.31,-68.8,-690.03,-6821.58,-71.05,-804.82,No
7014.94,2731.57,20616.55,-1120.45,15,border,-876.5,6734.31,-792.75,-7660.53,-145.94,-756.74,-6208.02,-71.29,-712.62,No
7085.45,2737.57,21195.77,-761.06,14,border,-624.35,6928.07,-603.86,-7509.69,-94.86,-475.83,-7071.98,-85.49,-479.08,No
6148.76,4068.35,9399.78,-1403.11,18,border,-1071.77,6361.6,-925.44,-7481.41,-26.12,-732.11,-6198.65,-11.64,-701.1,No
6556.68,4008.87,11457.76,-1793.8,14,border,-1421.39,6434.94,-1405.5,-7469.59,-56.95,-1226.14,0,0,-1347.05,No
6145.28,3099.4,14226.94,-1403.49,13,border,-1013.98,6193.28,-906.97,-7456.44,-118.47,-703.27,-7262.85,-60.39,-670.71,No
6129.33,2014.5,20090.9,-676.53,17,centroid,-547.6,6406.01,-772.23,-7443.36,-31.45,-501.7,-7443.36,-31.45,-501.7,No
6692.7,2783.69,18761.59,-1096.83,26,border,-820.03,6549.18,-706.65,-7385.59,-36.39,-672.32,-6919.24,-45.32,-680.79,No
6940.06,4212.6,12178.42,-2042.45,14,centroid,-1525.5,6630.99,-1398.03,-7359.45,-14.66,-1161.81,-6900.18,0,-1087.25,No
6934.36,4277.28,12194.34,-1527.51,14,middle,-1197.76,6895.27,-1234.09,-7240.41,-198.05,-731.17,0,0,-956.89,No
6200.24,2665.09,17006.98,-936.26,16,border,-665.47,6468.56,-711.81,-7191.23,-51.44,-631.41,-6211.55,-16.55,-647.21,No
6092.27,3569.52,11769.32,-1182.25,16,border,-924.27,6276.79,-1187.86,-7128.28,-4.25,-722.02,-7128.28,-4.25,-722.02,No
6461.48,2530.6,19034.29,-868.14,23,middle,-685.36,6488.37,-912.53,-7072.53,-81.42,-618.22,-6691.51,-73.02,-735.22,No
6714.97,2641.54,19749.31,-865.02,15,border,-703.48,6475.86,-766.18,-6965.89,-13.58,-536.01,-6037.77,-3.55,-569.64,No
6133.51,5046.42,4171.28,-1769.8,15,middle,-1384.42,6199.43,-1289.01,-6956.38,-92.92,-1081.33,-6956.38,-92.92,-1081.33,No
6449.08,3813.98,12216.81,-1342.14,18,centroid,-1042.81,6336.72,-1000.68,-6952.95,-35.86,-734.92,0,0,-840.43,No
6791.52,2774.06,19174.44,-1278.01,27,centroid,-900.49,6487.53,-865.33,-6947.14,-77.72,-760.04,-6768.3,-78.47,-677.86,No
